nodo,pagerank,in_degree,out_degree,hits_hub,hits_authority,betweenness,closeness
30100,0.00212613240505106,10,4,0.00018951050686403953,5.8319034426488924e-05,0.0013056688447988835,0.12945125778961217
30109,0.00036793581211126225,1,2,0.0002702530972622051,8.700403974158822e-20,0.00020130185212726475,0.08071912300236139
30286,0.0003188254022105983,6,7,-8.82002905038717e-21,-6.136093441668166e-19,0.0,0.0030015007503751876
30432,0.0006440497201810417,12,12,0.00013299259408855238,3.275503699219064e-05,0.0,0.07436234214184854
30454,0.00034263203096261154,5,8,2.8407168158115805e-20,-2.237090214152844e-19,1.977965959956955e-06,0.006279259032501324
30997,0.0006461361139677649,14,9,1.7779101807363656e-09,2.0593933222757976e-08,2.324914781142895e-07,0.007003501750875438
31119,0.00011620764833529659,1,7,-5.2788949556509924e-21,7.251841001513061e-19,0.0,0.0017250004312501079
31376,0.00015488463588026824,2,7,1.1829358581205047e-05,4.0623132139830346e-07,0.0,0.06608749396266934
31522,0.00022410214177361447,8,16,-3.7091698452109734e-20,4.344549374786738e-19,0.0,0.0053360013340003325
31689,8.64439217488278e-05,0,0,-0.0,-3.307420563367509e-19,0.0,0.0
31871,0.0005751844483676219,3,3,5.986087973770101e-22,3.187482590728483e-19,0.0,0.0015007503751875938
32104,0.00034963445998431673,5,2,7.217210222850512e-14,1.3920583547282048e-15,2.5037543796923487e-05,0.002572714928893018
32272,0.00010481379240479624,1,2,3.193307646972878e-20,3.7856623069089313e-19,0.0,0.0005002501250625312
32380,0.00010945325434826197,3,8,1.094576124899947e-06,6.35568946422137e-08,1.3770649088307918e-06,0.00208725052181263
32588,0.0006177532355395081,1,5,-7.551942456189313e-21,-7.745832649103281e-21,3.755631569538523e-07,0.005145429857786036
32791,0.000575184448367622,1,1,-1.3472762156040181e-20,-8.176355428297353e-20,0.0,0.0005002501250625312
32916,0.0013006008679441775,48,18,3.196177081276112e-08,7.417210768004383e-08,0.0034837483168244604,0.14315176276162492
32994,0.0003151713822440317,25,29,1.771425731798709e-08,9.725307053314937e-09,2.415320881601542e-05,0.12086424793462583
33012,0.00011110215253901093,14,54,3.2632867749084338e-06,8.774028693267625e-07,2.2851833892489357e-06,0.007003501750875438
33178,0.0009358515706315819,22,4,3.1597641225929457e-09,1.5728576308949357e-07,3.751594826896653e-05,0.14115980517524654
33188,0.0003154708954382723,25,30,1.7833128518831992e-08,9.723015349263675e-09,2.420460166907226e-05,0.12086424793462583
33312,0.00023631675155485617,1,1,7.760113379586292e-22,-1.2822063949285495e-18,0.0,0.008841021818098592
33367,0.00023631675155485617,1,1,7.760113379586292e-22,1.2951906821589568e-18,0.0,0.008841021818098592
33539,0.00027554807687006036,3,2,1.0416508622723395e-06,2.009837722471585e-08,0.00040310445513046814,0.11319177381211716
33934,0.0007437615478240431,21,16,3.2030689427574384e-09,1.2190207507687325e-09,8.960322450400822e-08,0.013488628372157094
34249,0.0008182289707275251,8,2,-4.63226483395737e-21,-1.3568830995419172e-19,2.2533789417231138e-06,0.00416875104218776
34573,0.00033970723122982984,14,2,9.373443941292333e-09,3.418262416550588e-07,0.0,0.12461617594986074
35042,8.64439217488278e-05,0,0,-0.0,3.088479678369089e-19,0.0,0.0
35084,0.0006120754044222832,18,15,6.336762412864854e-10,2.365635745549807e-10,0.0,0.11494225140437316
35240,0.00033970723122982984,14,0,-0.0,3.418262416551675e-07,0.0,0.12477828691976257
35298,0.0007913912072501448,15,10,9.065083158107647e-13,2.457559068938407e-13,0.0,0.007228614307153577
